#dataset_name replacement_name
BabyAccessories|BabyAccessory
BabiesTableware|BabyTableware
BabyCoushionsandBlankets|BabyCushion_Blanket
ChildrenRugs|ChildrenRug
CurtainsDrapers|CurtainDraper
ChildrenBed|Children_Bed
Changing-Table Nursing|ChangingTable_Nursing
ChildrenToys|ChildrenToy
ChildrensLighting|ChildrenLighting
ChildrenLighting|Children_Lighting
HooksandHangers|Hook_Hanger
SmallBoxes|SmallBox
ToystorageBoxes|BabyToyStorageBox
STUVACombinations|STUVACombination
STUVADoorsandDrawers|STUVADoorDrawer
STUVAFrames|STUVAFrame
childrens-chest-of-drawers|ChildrenChestOfDrawers
childrens-wardrobes|ChildrenWardrobe
toy-storage-boxes|ToyStorageBox
#toy-storage|ToyStorage
Cots|Cot
HighChairs|HighChair
CotMatrices|CotMattress
Accesories|ChildrenAccessory
chairschildren|ChildrenDeskChair
childrendesks|ChildrenDesks
ChildrenMatricess|ChildrenMattress
DeskandChairs|ChildrenDesk_Chair
ChildrenDuvetCover|Children_DuvetCover
ChildrenTextiles8-12|ChildrenTextile8_12
Canopies|Canopy
BooksGames|Book_Game
Arts&Craft|Art_Craft
SoftToys|SoftToy
TentToys|TentToy
WoodenToys|WoodenToy
BathroomInteriorOrganizer|InteriorOrganizer
BathroomScales|Scale
BathroomSinkAccessories|SinkAcessory
ShowerAccessories|ShowerAccessory
ToiletAccessories|ToiletAccessory
TowelRails&TowelHolders|TowelRails_TowelHolders
BathroomLighting|Lighting
BathroomMirrors|Mirror
BathroomSinks|Sink
Taps|Tap
Showers|Shower
ShowerCurtains|ShowerCurtain
Glass Sleves|GlassSelf
Bathroom High Cabinet|HighCabinet
Bathroom Trolleys|Trolley
Bathroom Wall Cabinets|WallCabinet
Shelf Units|SelfUnit
BathMats|BathMat
Bathropes&Slippers|Bathrobe_Slipper
Towel100times150|Towel_100x150
Towel30times30|Towel_30x30
Towel40times70|Towel_40x70
Towel70times140|Towel_70x140
BathroomBaseCabinets|BaseCabinet
BathroomCounterpots|CabinetCountertop
BathroomCabinetLEGS|CabinetLegs
BathroomSinkCabinets|SinkCabinet
Under Bed Storage|UnderBedStorage
Mattrisses Pillow Protectors|Mat_PillowProtector
Mattisses|Mat
Duvets|Duvet
DressingTables|DressingTable
BedSideTables|BedsideTable
AdultBeds|AdultBed
BedAccessories|BedAccessory
ChildrenBeds|ChildrenBed
ChildrenDuvet Covers|ChildrenDuvetCover
DuvetCovers|DuvetCover
PillowCovers|PillowCover
Sheets|Sheet
ChairPads|ChairPad
Decorative Lighting|DecorativeLighting
FloorLamps|FloorLamp
Sideboards and Buffets|Sideboard_Buffet
Speakers|Speaker
ChestofDrawers|ChestOfDrawers
ClothesandShoes Storage|Clothes_ShoesStorage
DoorMats|DoorMat
Mirror|HallwayMirror
OpenStorageFurniture|OpenStorageFurniture
Wordrobes|Wardrobe
BookcasesandShelving Units|Bookcase_SelvingUnit
CableManagementandAccessories|CableManagmentAccessory
Desks|Desk
Mobile&TableStand|Mobile_TableStand
Clocks|Clock
DecorativeAccessories|DecorativeAccessory
ArtCards|ArtCard
Frames|Frame
Picture Ledges|PictureLedge
Posters|Poster
ReadytoHang|ReadyToHang
WallStickers|WallSticker
Artificial Plants|ArtificialPlant
PlantPots|PlantPot
DeskStools|DeskStool
OfficeChairs|OfficeChair
Swivel-Chairs|SwivelChair
DeskCombinations|DeskCombinations
TableLegas & Table Legas Trestles|TableLeg_Trestle
TableTops|TableTop
DrawerUnits|DrawerUnit
StorageCabinets|StorageCabinet
CeilingLights|CeilingLight
IntegralLighting|IntegralLighting
SmartLighting|SmartLighting
TableLamps|TableLamp
WireleesLEDbulbs|WirelessLedBulb
WorkLamps|WorkLamp
Mobile&TableStand|Mobile_TableStand
Accessories|OfficeDeskAccessory
